-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	7	22	43	-1	-1	-1	-1	-1	32	
-1	-1	6	-1	-1	-1	-1	1	-1	42	
-1	-1	-1	-1	36	-1	-1	-1	-1	-1	
-1	-1	-1	17	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	6	1	
-1	-1	-1	-1	-1	-1	-1	5	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	14	-1	-1	-1	-1	-1	
-1	11	-1	-1	22	-1	-1	24	27	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	27	-1	-1	
-1	41	-1	5	15	-1	-1	-1	46	-1	
-1	-1	-1	-1	-1	5	-1	-1	-1	-1	
-1	-1	-1	43	-1	-1	-1	-1	-1	33	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	7	-1	-1	
-1	-1	3	-1	-1	-1	-1	-1	18	-1	
-1	-1	-1	48	-1	-1	-1	-1	-1	-1	
-1	-1	-1	35	-1	-1	-1	-1	9	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	3	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	22	39	35	8	
-1	-1	-1	-1	-1	42	-1	42	-1	-1	
-1	-1	-1	-1	-1	34	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
32	-1	-1	-1	-1	41	18	-1	-1	-1	
25	13	-1	-1	-1	-1	25	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	13	29	-1	-1	-1	
-1	-1	-1	15	-1	10	-1	24	-1	-1	
-1	-1	-1	-1	47	-1	-1	14	-1	-1	
-1	-1	-1	-1	-1	0	14	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
35	-1	-1	29	-1	-1	-1	-1	-1	-1	
-1	-1	1	-1	-1	-1	-1	16	22	32	
10	46	-1	-1	-1	-1	-1	-1	23	35	
-1	-1	-1	-1	-1	-1	0	-1	-1	-1	
-1	-1	-1	7	-1	-1	-1	-1	-1	20	
-1	-1	-1	-1	43	-1	-1	41	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	1	9	-1	-1	-1	-1	-1	-1	-1	
-1	-1	40	-1	16	23	-1	40	-1	-1	
26	-1	-1	43	26	-1	-1	-1	-1	-1	
-1	34	-1	-1	-1	-1	7	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	23	-1	-1	
-1	-1	-1	-1	41	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	35	-1	
48	39	0	24	-1	-1	-1	29	-1	48	
-1	-1	-1	32	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	11	-1	-1	43	
5	-1	-1	-1	-1	-1	-1	9	45	-1	
2	-1	-1	-1	-1	16	-1	-1	-1	-1	
-1	40	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	4	-1	-1	
23	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	22	29	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	34	26	
-1	-1	-1	-1	30	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	49	-1	-1	-1	-1	-1	
-1	20	24	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	28	22	-1	-1	-1	
-1	-1	-1	29	-1	-1	-1	-1	46	26	
1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	32	28	
-1	-1	-1	-1	-1	32	-1	-1	-1	-1	
-1	-1	-1	-1	-1	49	-1	-1	-1	15	
26	-1	31	-1	-1	-1	3	-1	-1	22	
-1	-1	-1	47	-1	-1	-1	-1	-1	-1	
17	-1	-1	-1	20	-1	24	-1	-1	-1	
-1	-1	-1	1	35	-1	-1	-1	-1	-1	
-1	27	-1	-1	-1	-1	43	0	-1	-1	
-1	-1	5	-1	9	-1	-1	-1	18	-1	
-1	-1	-1	0	42	23	33	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	18	-1	
-1	-1	-1	-1	16	-1	-1	-1	42	46	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
46	35	-1	-1	-1	-1	15	34	-1	-1	
-1	-1	-1	-1	-1	-1	29	15	38	40	
41	-1	5	12	-1	26	-1	-1	-1	-1	
-1	31	-1	12	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	0	-1	-1	-1	
-1	-1	-1	-1	-1	15	-1	-1	-1	-1	
-1	-1	24	-1	46	-1	-1	-1	-1	-1	
-1	-1	-1	-1	38	0	-1	47	-1	9	
-1	34	-1	-1	-1	-1	-1	28	43	5	
-1	-1	-1	-1	-1	-1	40	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	29	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
11	-1	-1	-1	-1	-1	-1	38	-1	-1	
-1	-1	-1	-1	-1	-1	13	47	-1	-1	
